poem_id,title,svur,pvur,sps,msl,sfi,fppf,pnd,sds
tangzongzheng_poem_001,偶记,1.18,1.18,1.0,12.14,42.86,58.82,11.76,0.0
tangzongzheng_poem_002,偶记,1.3,0.0,0.756,6.42,50.0,38.96,0.0,0.0
tangzongzheng_poem_003,偶记,4.55,1.52,1.0,7.33,33.33,0.0,30.3,0.0
tangzongzheng_poem_004,偶记,0.0,3.33,0.999,7.5,50.0,33.33,100.0,0.0
tangzongzheng_poem_005,偶记,3.17,3.17,1.0,5.25,66.67,63.49,31.75,0.0
tangzongzheng_poem_006,偶记,0.0,0.0,0.942,5.5,50.0,30.3,30.3,0.0
tangzongzheng_poem_007,偶记,3.33,3.33,1.0,5.45,54.55,33.33,33.33,0.0
tangzongzheng_poem_008,偶记,4.55,0.0,1.0,4.89,55.56,0.0,22.73,22.73
tangzongzheng_poem_009,偶记,4.48,1.49,1.0,5.58,66.67,29.85,44.78,0.0
tangzongzheng_poem_010,偶记,0.0,0.0,1.0,12.33,0.0,54.05,0.0,0.0
tangzongzheng_poem_011,偶记,0.0,0.0,1.0,5.86,57.14,24.39,0.0,0.0
tangzongzheng_poem_012,偶记,2.22,0.0,0.922,4.5,60.0,44.44,0.0,0.0
tangzongzheng_poem_013,偶记,3.7,0.0,-0.981,5.79,57.14,12.35,24.69,12.35
tangzongzheng_poem_014,偶记,6.45,3.23,1.0,5.64,54.55,16.13,16.13,0.0
tangzongzheng_poem_015,偶记,1.35,0.9,1.0,6.17,52.78,49.55,13.51,0.0
tangzongzheng_poem_016,偶记,4.35,0.0,1.0,6.57,57.14,0.0,21.74,0.0
tangzongzheng_poem_017,偶记,3.81,2.86,1.0,5.53,52.63,38.1,57.14,9.52
tangzongzheng_poem_018,偶记,3.03,0.0,1.0,9.43,28.57,0.0,45.45,0.0
tangzongzheng_poem_019,偶记,5.13,0.0,1.0,7.09,45.45,51.28,12.82,0.0
tangzongzheng_poem_020,偶记,2.6,1.3,1.0,6.42,41.67,12.99,12.99,0.0
tangzongzheng_poem_021,偶记,0.0,2.13,1.0,6.71,28.57,21.28,21.28,0.0
tangzongzheng_poem_022,偶记,0.0,0.0,0.998,6.14,42.86,69.77,46.51,0.0
tangzongzheng_poem_023,偶记,2.86,0.0,1.0,5.83,50.0,0.0,0.0,42.86
tangzongzheng_poem_024,偶记,2.88,0.0,1.0,6.93,53.33,38.46,28.85,0.0
tangzongzheng_poem_025,偶记,0.0,4.76,-0.216,10.5,50.0,0.0,47.62,0.0
tangzongzheng_poem_026,偶记,2.48,0.83,1.0,7.12,35.29,24.79,0.0,8.26
tangzongzheng_poem_027,偶记,3.28,0.0,0.223,5.55,63.64,32.79,16.39,0.0
tangzongzheng_poem_028,偶记,0.0,3.7,0.991,6.0,55.56,0.0,0.0,0.0
tangzongzheng_poem_029,偶记,0.0,0.0,-0.991,3.29,85.71,0.0,0.0,0.0
tangzongzheng_poem_030,偶记,0.48,1.91,1.0,6.15,47.06,52.63,71.77,0.0
tangzongzheng_poem_031,偶记,0.0,0.0,0.71,6.25,25.0,0.0,120.0,0.0
tangzongzheng_poem_032,偶记,2.38,0.0,1.0,6.0,42.86,71.43,0.0,23.81
tangzongzheng_poem_033,偶记,3.33,2.22,1.0,6.0,60.0,22.22,22.22,0.0
tangzongzheng_poem_034,偶记,2.3,0.0,0.993,5.12,52.94,22.99,11.49,11.49
tangzongzheng_poem_035,偶记,1.64,0.0,0.999,6.78,33.33,65.57,49.18,0.0
tangzongzheng_poem_036,偶记,7.69,0.0,1.0,6.5,37.5,19.23,57.69,19.23
tangzongzheng_poem_037,偶记,2.38,2.38,0.995,7.0,33.33,47.62,23.81,0.0
tangzongzheng_poem_038,偶记,4.0,2.0,0.864,6.67,33.33,50.0,10.0,0.0
tangzongzheng_poem_039,偶记,4.88,0.0,1.0,6.83,41.67,24.39,48.78,12.2
tangzongzheng_poem_040,偶记,2.38,0.0,0.999,4.67,66.67,23.81,47.62,0.0
tangzongzheng_poem_041,偶记,0.0,0.0,1.0,6.75,50.0,37.04,0.0,0.0
tangzongzheng_poem_042,偶记,1.11,0.0,-0.97,6.43,50.0,44.44,44.44,0.0
tangzongzheng_poem_043,偶记,2.38,0.0,1.0,7.88,37.5,31.75,39.68,0.0
tangzongzheng_poem_044,偶记,8.33,0.0,1.0,7.5,37.5,16.67,50.0,0.0
tangzongzheng_poem_045,偶记,2.83,0.47,1.0,6.84,48.39,42.45,14.15,0.0
tangzongzheng_poem_046,偶记,6.31,0.0,1.0,7.4,26.67,18.02,36.04,0.0
