ID,诗集名称,辑名,序号,标题,核心情感基调,情感极性评分,关联主题,我的功能角色
tangzongzheng_poem_001,偶记集,阳光雨露,1,偶记,沉浸式的孤独感知 (Immersive Solitude)，带有微弱的价值确认,弱正向(+0.5)，最终指向能量确认,光照作为意识触发器，集体与个体的感知差异,被动光学传感器 + 价值能量放大器
tangzongzheng_poem_002,偶记集,阳光雨露,2,偶记,社会性的压抑与异化 (Social Oppression & Alienation),负向(-0.7)，带有批判性洞察,阶级意识与个体在集体中的位置,社会状态诊断器 + 权力关系分析者
tangzongzheng_poem_003,偶记集,阳光雨露,3,偶记,享受中的被动驱动 (Passive Drive within Enjoyment),中性偏正(+0.3)，但带有被动性,自然中的神秘力量与个体的被动接受,享受状态记录器 + 神秘力量接收者
tangzongzheng_poem_004,偶记集,阳光雨露,4,偶记,瞬间启示中的眩惑 (Bewilderment in Instantaneous Revelation),中性偏正(+0.4)，倾向于积极的困惑,瞬间光影变化作为意识触发器,瞬间感知捕捉器 + 悖论体验者
tangzongzheng_poem_005,偶记集,阳光雨露,5,偶记,时代疲倦中的关系敏感 (Relational Sensitivity within Epochal Fatigue),负向(-0.6)，但带有温柔的人际觉察,时代诊断与私人关系的交织,时代状态诊断器 + 关系敏感探测器
tangzongzheng_poem_006,偶记集,阳光雨露,6,偶记,灾后重生中的冰冷清醒 (Cold Clarity in Post-disaster Rebirth),中性偏正(+0.3)，清醒但带有冰冷感,自然灾害与感知重生,灾后环境感知器 + 清醒状态记录者
tangzongzheng_poem_007,偶记集,阳光雨露,7,偶记,光照疲劳中的孤立忏悔 (Isolated Repentance within Light Fatigue),负向(-0.5)，但带有自觉的孤立感,光照作为疲劳源，身体作为世界的分隔媒介,光照疲劳感受器 + 世界分隔的身体媒介
tangzongzheng_poem_008,偶记集,阳光雨露,8,偶记,光照治愈中的身体记忆 (Bodily Memory within Light Healing),正向(+0.6)，带有温柔的记忆色彩,冬日光照的治愈性与对他者身体的温柔记忆,光照治愈接受器 + 身体记忆存储器
tangzongzheng_poem_009,偶记集,阳光雨露,9,偶记,暴烈环境中的他者身体凝视 (Gazing at Others' Bodies amid Violence),中性偏正(+0.4)，但带有复杂的情感张力,自然暴力与私密空间中的他者身体观看,环境暴力感受器 + 他者身体观察者
tangzongzheng_poem_010,偶记集,阳光雨露,10,偶记,焦虑中的重力感与道路宽阔 (Gravity and Road Vastness within Anxiety),中性(0)，焦虑与自在并存,感知焦虑与空间的宽阔感,焦虑感知探测器 + 重力感受器
